,면적,반려동물 가구밀도,폐사안락사 비율(폐사안락사 수/면적),보호소 밀도,동물병원약국개수,동물병원약국 밀도,target
212,2.67,663.6573034,0.0,0.0,10,11.11111111,0
213,1.29,515.9922481,0.0,0.0,10,12.65822785,0
214,1.43,1103.970629,0.0,0.0,9,16.98113208,0
215,1.67,1048.326946,24.55089820359282,0.5988023952095809,3,1.123595506,0
216,0.57,2921.964912,45.6140350877193,1.754385964912281,3,2.325581395,0
217,0.72,3050.694444,54.16666666666667,1.388888888888889,2,1.398601399,0
218,0.23,2131.8,21.73913043478261,4.347826086956522,6,3.592814371,0
219,0.35,2706.157143,11.42857142857143,2.857142857142857,6,10.52631579,1
220,1.71,1511.450877,0.0,0.0,6,8.333333333,0
221,1.26,1111.646825,0.0,0.0,1,4.347826087,0
222,1.07,731.3906542,0.0,0.0,2,5.714285714,0
223,0.87,1708.524138,0.0,0.0,5,2.923976608,0
224,1.39,1074.0,0.0,0.0,5,3.968253968,0
225,0.66,3032.0,0.0,0.0,5,4.672897196,0
226,0.52,2902.730769,0.0,0.0,5,5.747126437,0
227,0.38,2470.368421,0.0,0.0,6,4.316546763,0
228,0.47,2069.87234,0.0,0.0,4,6.060606061,0
229,0.65,2578.4,0.0,0.0,4,7.692307692,0
230,0.64,2482.5625,0.0,0.0,4,10.52631579,0
231,2.56,1023.45,0.0,0.0,4,8.510638298,0
232,0.93,1745.341935,0.0,0.0,4,6.153846154,0
233,0.39,2423.741026,7.692307692307692,2.564102564102564,5,7.8125,1
234,0.62,3212.304839,4.838709677419355,1.612903225806452,10,3.90625,0
235,1.03,1801.079612,22.33009708737864,0.970873786407767,6,6.451612903,0
236,1.47,1688.27551,0.0,0.0,3,7.692307692,0
237,0.54,4773.72963,25.92592592592592,1.851851851851852,4,7.272727273,1
238,0.84,2416.011905,0.0,0.0,2,3.225806452,0
239,1.0,1522.92,0.0,0.0,3,2.912621359,0
240,0.64,3242.1875,10.9375,1.5625,11,7.482993197,0
241,0.78,2637.138462,21.7948717948718,1.282051282051282,11,20.37037037,1
242,0.55,2992.829091,27.27272727272727,1.818181818181818,4,4.761904762,0
243,0.65,2927.706154,0.0,0.0,4,4.0,0
244,0.61,2717.403279,0.0,0.0,11,17.1875,0
245,0.87,1712.495402,0.0,0.0,27,14.28571429,0
246,0.52,2622.892308,0.0,0.0,5,6.41025641,0
247,0.69,1777.598551,0.0,0.0,11,20.0,0
248,0.41,2490.314634,0.0,0.0,5,7.692307692,0
249,1.19,1474.340336,0.0,0.0,5,8.196721311,0
250,0.7,2011.432857,0.0,0.0,5,5.747126437,0
251,0.52,2678.482692,0.0,0.0,5,9.615384615,0
252,2.72,1301.373529,0.0,0.0,5,7.246376812,0
253,1.01,3041.951485,0.0,0.0,5,12.19512195,0
254,0.96,1713.495833,0.0,0.0,5,4.201680672,0
255,1.21,1902.487603,0.0,0.0,5,7.142857143,0
256,2.63,943.4737643,0.0,0.0,5,9.615384615,0
257,1.24,1423.946774,12.90322580645161,0.8064516129032259,5,1.838235294,0
258,0.54,2982.972222,35.18518518518518,1.851851851851852,5,4.95049505,0
259,0.5,2989.378,18.0,2.0,6,6.25,0
260,0.52,2642.123077,9.615384615384615,1.923076923076923,6,4.958677686,0
261,0.76,2688.631579,19.73684210526316,1.315789473684211,13,4.942965779,0
262,1.33,1205.016541,14.28571428571428,0.7518796992481203,5,4.032258065,0
263,1.02,2716.423529,5.88235294117647,0.9803921568627451,5,9.259259259,0
264,1.18,960.4881356,6.779661016949153,0.8474576271186441,5,10.0,0
265,2.51,449.8613546,4.780876494023905,0.3984063745019921,6,11.53846154,0
266,2.53,778.3509881,0.0,0.0,9,11.84210526,0
267,5.76,627.975,0.5208333333333334,0.1736111111111111,0,0.0,0
268,7.58,276.8390501,0.0,0.0,5,4.901960784,0
269,0.88,2059.25,0.0,0.0,5,4.237288136,0
270,3.0,691.8266667,0.0,0.0,5,1.992031873,0
271,8.4,312.6095238,0.0,0.0,27,10.67193676,0
272,2.35,1853.695319,0.0,0.0,3,6.25,0
273,1.15,2576.56,0.0,0.0,15,2.604166667,0
274,1.16,2993.172414,0.0,0.0,8,1.055408971,0
275,0.64,2682.45,14.0625,1.5625,4,4.545454545,0
276,3.05,1194.037377,0.0,0.0,6,2.0,0
277,0.44,2439.327273,38.63636363636363,2.272727272727273,21,2.5,0
278,1.74,1721.689655,0.0,0.0,30,12.76595745,0
279,1.26,2713.15873,0.0,0.0,30,26.08695652,0
280,1.02,1928.666667,0.0,0.0,14,12.06896552,0
281,1.65,1877.76,9.696969696969697,0.6060606060606061,1,1.5625,0
282,0.59,3485.872881,0.0,0.0,8,2.62295082,0
283,3.2,875.0625,0.0,0.0,6,13.63636364,0
284,3.17,374.6271293,4.100946372239748,0.3154574132492113,8,4.597701149,0
285,1.94,991.8216495,0.0,0.0,20,15.87301587,0
286,0.41,3226.036585,0.0,0.0,8,7.843137255,0
287,0.72,2917.790278,0.0,0.0,12,7.272727273,0
288,0.84,2152.028571,16.66666666666667,1.19047619047619,5,8.474576271,0
289,2.31,485.8510823,0.0,0.0,8,2.5,0
290,0.28,3826.175,0.0,0.0,6,1.892744479,0
291,1.96,498.4357143,0.0,0.0,7,3.608247423,0
292,1.61,1540.941615,23.60248447204969,0.6211180124223602,6,14.63414634,0
293,10.28,153.9519455,5.350194552529183,0.09727626459143969,12,16.66666667,0
294,1.36,2241.45,0.0,0.0,4,4.761904762,0
295,0.59,2544.784746,0.0,0.0,2,0.8658008658,0
296,0.71,1663.564789,0.0,0.0,1,3.571428571,0
297,1.16,1964.731034,10.3448275862069,0.8620689655172414,5,2.551020408,0
298,1.94,1396.716495,7.731958762886598,0.5154639175257733,9,5.590062112,0
299,1.17,2494.931624,6.837606837606838,0.8547008547008548,10,0.9727626459,0
300,0.81,2133.453086,18.51851851851852,1.234567901234568,8,5.882352941,0
301,1.36,1140.019118,21.3235294117647,0.7352941176470588,6,10.16949153,0
302,0.78,3157.617949,20.51282051282051,1.282051282051282,2,2.816901408,0
303,0.6,354.6233333,18.33333333333334,1.666666666666667,5,4.310344828,0
304,0.57,1841.977193,0.0,0.0,6,3.092783505,0
305,1.2,1718.1875,0.0,0.0,6,5.128205128,0
306,0.78,2400.49359,0.0,0.0,4,4.938271605,0
307,0.63,3315.02381,0.0,0.0,5,3.676470588,0
308,1.04,1509.203846,42.30769230769231,0.9615384615384615,3,1.176470588,0
309,0.69,1871.498551,63.76811594202899,1.449275362318841,5,6.41025641,0
310,2.86,680.9702797,0.0,0.0,5,8.333333333,0
311,1.22,587.3229508,0.0,0.0,0,0.0,0
312,0.57,1182.078947,0.0,0.0,10,8.333333333,0
313,0.86,1045.637209,0.0,0.0,10,12.82051282,0
314,0.78,930.924359,14.1025641025641,1.282051282051282,9,14.28571429,0
315,3.28,745.0164634,9.146341463414634,0.3048780487804878,3,2.884615385,0
316,1.08,2026.737037,4.62962962962963,0.9259259259259258,4,5.797101449,0
317,0.92,1579.180435,0.0,0.0,3,1.048951049,0
318,1.24,1186.319355,0.0,0.0,4,3.278688525,0
319,2.58,620.9317829,0.0,0.0,3,5.263157895,0
320,0.57,3977.052632,33.33333333333334,1.754385964912281,3,3.488372093,0
321,1.68,1306.671429,11.30952380952381,0.5952380952380952,1,1.282051282,0
322,1.2,1807.92,19.16666666666667,0.8333333333333334,7,2.134146341,0
323,1.16,1550.172414,14.6551724137931,0.8620689655172414,6,5.555555556,0
324,2.18,1089.710092,3.669724770642202,0.4587155963302752,6,6.52173913,0
325,1.49,1621.594631,4.697986577181208,0.6711409395973155,4,3.225806452,0
326,1.56,936.8307692,3.205128205128205,0.641025641025641,7,2.713178295,0
327,2.79,421.6258065,2.867383512544803,0.3584229390681004,6,10.52631579,0
328,0.6,1136.16,5.0,1.666666666666667,6,3.571428571,0
329,0.94,3182.553191,17.02127659574468,1.063829787234043,7,5.833333333,0
330,1.76,1270.472727,0.0,0.0,7,6.034482759,0
331,1.25,2013.6784,36.8,0.8,6,2.752293578,0
332,1.09,1792.06789,42.20183486238532,0.9174311926605504,7,4.697986577,0
333,0.7,1990.982857,30.0,1.428571428571429,9,5.769230769,0
334,0.67,1515.686567,29.85074626865671,1.492537313432836,9,3.225806452,0
335,0.65,1798.933846,36.92307692307692,1.538461538461538,7,11.66666667,1
336,1.37,1798.633577,2.18978102189781,0.7299270072992701,6,6.382978723,0
337,1.36,369.0794118,9.558823529411764,0.7352941176470588,14,7.954545455,0
338,1.19,1803.589916,36.1344537815126,0.8403361344537815,15,12.0,0
339,0.86,1315.993023,51.16279069767442,1.162790697674419,16,14.67889908,0
340,0.44,2772.325,43.18181818181818,2.272727272727273,4,5.714285714,0
341,1.17,1324.411111,17.94871794871795,0.8547008547008548,4,5.970149254,0
